Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,44,6,Some Random Commen with Id 0
1,1,5,8,8,Some Random Commen with Id 1
2,1,5,132,7,Some Random Commen with Id 2
3,1,5,22,4,Some Random Commen with Id 3
4,2,4,148,7,Some Random Commen with Id 4
5,2,4,191,5,Some Random Commen with Id 5
6,2,4,154,1,Some Random Commen with Id 6
7,3,4,18,3,Some Random Commen with Id 7
8,3,4,73,3,Some Random Commen with Id 8
9,3,4,191,9,Some Random Commen with Id 9
10,3,4,76,7,Some Random Commen with Id 10
11,3,4,39,5,Some Random Commen with Id 11
12,4,1,55,6,Some Random Commen with Id 12
13,4,1,28,2,Some Random Commen with Id 13
14,5,7,182,3,Some Random Commen with Id 14
15,5,7,148,2,Some Random Commen with Id 15
16,5,7,180,1,Some Random Commen with Id 16
17,5,7,49,7,Some Random Commen with Id 17
18,5,7,9,3,Some Random Commen with Id 18
19,5,7,29,2,Some Random Commen with Id 19
20,5,7,44,8,Some Random Commen with Id 20
21,6,0,113,9,Some Random Commen with Id 21
22,6,0,168,5,Some Random Commen with Id 22
23,6,0,11,7,Some Random Commen with Id 23
24,6,0,178,1,Some Random Commen with Id 24
25,6,0,180,1,Some Random Commen with Id 25
26,6,0,87,7,Some Random Commen with Id 26
27,6,0,66,6,Some Random Commen with Id 27
28,6,0,31,3,Some Random Commen with Id 28
29,6,0,8,9,Some Random Commen with Id 29
30,7,3,174,4,Some Random Commen with Id 30
31,8,3,118,2,Some Random Commen with Id 31
32,8,3,80,2,Some Random Commen with Id 32
33,8,3,141,8,Some Random Commen with Id 33
34,8,3,19,1,Some Random Commen with Id 34
35,9,9,166,5,Some Random Commen with Id 35
36,9,9,117,6,Some Random Commen with Id 36
37,9,9,105,2,Some Random Commen with Id 37
38,10,0,97,8,Some Random Commen with Id 38
39,10,0,153,5,Some Random Commen with Id 39
40,10,0,126,2,Some Random Commen with Id 40
41,10,0,12,8,Some Random Commen with Id 41
42,12,2,51,2,Some Random Commen with Id 42
43,13,3,15,9,Some Random Commen with Id 43
44,14,5,193,1,Some Random Commen with Id 44
